timestamp,Infrared to Red Signal Ratio
02/23/24 08:55:01,-1
02/23/24 08:56:01,4
02/23/24 08:57:01,-13
02/23/24 08:58:01,-6
02/23/24 08:59:01,-68
02/23/24 09:00:03,0
02/23/24 18:05:01,9
02/23/24 18:06:01,-31
02/23/24 18:07:01,-33
02/23/24 18:08:01,2
02/23/24 18:09:01,-4
02/23/24 18:10:01,31
02/23/24 18:11:01,1
02/23/24 18:12:01,0
02/23/24 18:13:01,13
02/23/24 18:14:01,-5
02/23/24 18:15:01,-13
02/23/24 18:16:01,0
02/23/24 18:17:01,-47
02/23/24 18:18:01,4
02/23/24 18:19:01,0
02/23/24 18:20:01,0
02/23/24 18:21:01,-26
02/23/24 23:14:31,-8
02/23/24 23:15:31,-11
02/23/24 23:16:31,-31
02/23/24 23:17:31,0
02/23/24 23:18:31,-13
02/23/24 23:34:30,3
02/23/24 23:35:30,0
02/23/24 23:36:30,-3
02/23/24 23:37:30,-15
02/23/24 23:38:30,-1
02/23/24 23:39:30,-5
02/23/24 23:40:30,-3
02/23/24 23:50:00,0
02/23/24 23:51:00,-21
02/23/24 23:52:00,8
02/23/24 23:53:00,-27
02/23/24 23:54:00,-43
02/23/24 23:55:00,0
02/23/24 23:56:00,13
02/23/24 23:57:00,-8
02/23/24 23:58:00,-20
02/23/24 23:59:00,2
